Title,Body,Milestone,Labels,Assignee(role),Priority,Estimate(days),Phase,WorkPackage
[16.2] 보호자,"**Phase:** 16 · 모바일 앱(RN)  
**담당자:** 개발자 E (Dev-E)  
**우선순위:** P0  ·  **예상 공수:** 20.5d  ·  **작업 수:** 8  ·  **일정:** W11–W15

### 작업 목록
- [ ] **16.2.1** G-01 홈 (Bottom Tab) `M` `P0` — 보호자 홈(Bottom Tab). 참고: wireframes/mobile/02-m-guardian-home.svg
- [ ] **16.2.2** G-10 타임라인 `M` `P0` — 타임라인. 참고: wireframes/mobile/03-m-timeline.svg
- [ ] **16.2.3** G-22 기록 상세 (Push) `S` `P0` — 기록 상세(Push). 참고: wireframes/mobile/07-m-record-detail.svg
- [ ] **16.2.4** G-23 기록 작성 (Full-screen Flow) `L` `P0` — 기록 작성(Full-screen Flow). 참고: wireframes/mobile/08-m-record-form.svg
- [ ] **16.2.5** G-30 권한 매트릭스 (카드 리스트) `M` `P0` — 권한 매트릭스(카드 리스트). 참고: wireframes/mobile/09-m-permissions.svg
- [ ] **16.2.6** G-32 권한 부여 위자드 `L` `P0` — 권한 부여 위자드. 참고: wireframes/mobile/10-m-grant-wizard.svg
- [ ] **16.2.7** G-50 알림 (인라인 액션) `S` `P0` — 알림(인라인 액션). 참고: wireframes/mobile/11-m-notifications.svg
- [ ] **16.2.8** G-60 설정 (당사자별 진입) `S` `P0` — 설정(당사자별 진입). 참고: wireframes/mobile/12-m-settings.svg

> 원본: docs/08-wbs-v1.1.md · 보호자",Phase 16 · 모바일 앱(RN),"phase:16,priority:P0,type:mobile,role:Dev-E",개발자 E,P0,20.5,16,보호자
[16.3] 당사자 (접근성),"**Phase:** 16 · 모바일 앱(RN)  
**담당자:** 개발자 E (Dev-E)  
**우선순위:** P0  ·  **예상 공수:** 12d  ·  **작업 수:** 5  ·  **일정:** W11–W15

### 작업 목록
- [ ] **16.3.1** P-01 오늘 기록 홈 (큰 CTA) `M` `P0` — 당사자 오늘 기록 홈(큰 CTA). 참고: docs/07 §9 접근성, wireframes/mobile/04-m-person-home.svg
- [ ] **16.3.2** P-02 자기표현 위자드 (4 step, 풀스크린) `L` `P0` — 자기표현 위자드 4스텝(풀스크린). 참고: docs/06 §6 Flow-1, wireframes/mobile/05-m-self-expression.svg
- [ ] **16.3.3** P-10 내 기록 (분야 그리드) `S` `P0` — 내 기록(분야 그리드). 참고: wireframes/mobile/13-m-person-records.svg
- [ ] **16.3.4** P-11 기록 상세 (쉬운 요약) `M` `P0` — 기록 상세(쉬운 요약). 참고: wireframes/mobile/14-m-person-record-detail.svg
- [ ] **16.3.5** P-20 설정 (큰 카드) `S` `P0` — 설정(큰 카드). 참고: wireframes/mobile/15-m-person-settings.svg

> 원본: docs/08-wbs-v1.1.md · 당사자 (접근성)",Phase 16 · 모바일 앱(RN),"phase:16,priority:P0,type:mobile,role:Dev-E",개발자 E,P0,12,16,당사자 (접근성)
[16.4] 활동지원사,"**Phase:** 16 · 모바일 앱(RN)  
**담당자:** 개발자 E (Dev-E)  
**우선순위:** P0  ·  **예상 공수:** 10.5d  ·  **작업 수:** 3  ·  **일정:** W11–W15

### 작업 목록
- [ ] **16.4.1** S-01 홈 (대형 일지 CTA) `M` `P0` — 활동지원사 홈(대형 일지 CTA). 참고: wireframes/mobile/16-m-supporter-home.svg
- [ ] **16.4.2** S-12 일지 작성 위자드 (5 step) `XL` `P0` — 일지 작성 위자드 5스텝. 참고: wireframes/mobile/17-m-supporter-journal-form.svg
- [ ] **16.4.3** S-20 인수인계 목록 `S` `P0` — 인수인계 목록. 참고: wireframes/mobile/18-m-supporter-handover.svg

> 원본: docs/08-wbs-v1.1.md · 활동지원사",Phase 16 · 모바일 앱(RN),"phase:16,priority:P0,type:mobile,role:Dev-E",개발자 E,P0,10.5,16,활동지원사
[16.5] 전문가 4역할 통합 패턴,"**Phase:** 16 · 모바일 앱(RN)  
**담당자:** 개발자 E (Dev-E)  
**우선순위:** P0  ·  **예상 공수:** 15d  ·  **작업 수:** 6  ·  **일정:** W11–W15

### 작업 목록
- [ ] **16.5.1** T-01 교사 홈 `M` `P0` — 교사 홈. 참고: wireframes/mobile/19-m-teacher-home.svg
- [ ] **16.5.2** T-12 IEP 상세 `M` `P0` — IEP 상세. 참고: wireframes/mobile/20-m-teacher-iep-detail.svg
- [ ] **16.5.3** W-01 복지사 홈 `M` `P0` — 복지사 홈. 참고: wireframes/mobile/21-m-worker-home.svg
- [ ] **16.5.4** W-12 ISP 상세 `M` `P0` — ISP 상세. 참고: wireframes/mobile/22-m-worker-isp-detail.svg
- [ ] **16.5.5** TH-01 치료사 홈 `M` `P0` — 치료사 홈. 참고: wireframes/mobile/23-m-therapist-home.svg
- [ ] **16.5.6** TH-15 회기 일지 작성 `M` `P0` — 회기 일지 작성. 참고: wireframes/mobile/24-m-therapist-session.svg

> 원본: docs/08-wbs-v1.1.md · 전문가 4역할 통합 패턴",Phase 16 · 모바일 앱(RN),"phase:16,priority:P0,type:mobile,role:Dev-E",개발자 E,P0,15,16,전문가 4역할 통합 패턴
[16.6] 모바일 전용 기능,"**Phase:** 16 · 모바일 앱(RN)  
**담당자:** 개발자 E (Dev-E)  
**우선순위:** P0  ·  **예상 공수:** 18.5d  ·  **작업 수:** 7  ·  **일정:** W11–W15

### 작업 목록
- [ ] **16.6.1** FCM 푸시 알림 통합 `M` `P0` — FCM 푸시 알림 통합(토큰 등록·수신). 참고: docs/05 §8 알림, §10.2.1·§10.2.8
- [ ] **16.6.2** 카메라/갤러리 (사진 첨부) `M` `P0` — 카메라/갤러리 사진 첨부. 참고: docs/05 §5 파일 첨부
- [ ] **16.6.3** 음성 메모 녹음 `M` `P1` — 음성 메모 녹음(P1). 참고: §6.6
- [ ] **16.6.4** 일지 오프라인 임시저장 (AsyncStorage) `L` `P0` — 일지 오프라인 임시저장(AsyncStorage) 후 동기화. 참고: docs/04 §3 활동지원사
- [ ] **16.6.5** 생체 인증 (Face ID / 지문) `M` `P0` — 생체 인증(Face ID/지문) — 민감정보 보호. 참고: §17.2.5
- [ ] **16.6.6** Deep Link 라우팅 (초대 등) `M` `P0` — Deep Link 라우팅(초대·알림 진입). 참고: §16.1.4
- [ ] **16.6.7** OTA 업데이트 (Expo Updates) `S` `P1` — OTA 업데이트(Expo Updates, P1).

> 원본: docs/08-wbs-v1.1.md · 모바일 전용 기능",Phase 16 · 모바일 앱(RN),"phase:16,priority:P0,type:mobile,role:Dev-E",개발자 E,P0,18.5,16,모바일 전용 기능
[17.1] SEO (웹만),"**Phase:** 17 · SEO·보안·접근성  
**담당자:** PL (PL)  
**우선순위:** P1  ·  **예상 공수:** 2d  ·  **작업 수:** 3  ·  **일정:** W13–W15

### 작업 목록
- [ ] **17.1.1** 메타 태그 (랜딩 페이지) `XS` `P1` — 랜딩 페이지 메타 태그(P1).
- [ ] **17.1.2** Sitemap·robots.txt `XS` `P1` — Sitemap·robots.txt(P1).
- [ ] **17.1.3** OG 이미지·소셜 미리보기 `S` `P2` — OG 이미지·소셜 미리보기(P2).

> 원본: docs/08-wbs-v1.1.md · SEO (웹만)",Phase 17 · SEO·보안·접근성,"phase:17,priority:P1,type:frontend,role:PL",PL,P1,2,17,SEO (웹만)
[17.2] 보안,"**Phase:** 17 · SEO·보안·접근성  
**담당자:** PL (PL)  
**우선순위:** P0  ·  **예상 공수:** 13.5d  ·  **작업 수:** 9  ·  **일정:** W13–W15

### 작업 목록
- [ ] **17.2.1** OWASP Top 10 자체 점검 `M` `P0` — OWASP Top 10 자체 점검. 참고: docs/05 §11 시스템 보안 흐름, bkit:phase-7-seo-security 스킬
- [ ] **17.2.2** XSS 필터 (입력값 sanitize) `S` `P0` — XSS 방어 — 입력값 sanitize.
- [ ] **17.2.3** CSRF 토큰 `S` `P0` — CSRF 토큰 적용.
- [ ] **17.2.4** SQL Injection 방어 검증 (RLS + Prisma) `S` `P0` — SQL Injection 방어 검증(RLS + Prisma 파라미터화). 참고: docs/03 §RLS
- [ ] **17.2.5** 응급정보 추가 인증 (PIN 또는 생체) `M` `P0` — 응급정보 접근 시 PIN/생체 추가 인증. 참고: docs/05 §11, docs/02 §3 JSONB(emergency)
- [ ] **17.2.6** 민감 파일 다운로드 워터마킹 `M` `P1` — 민감 파일 다운로드 워터마킹(P1).
- [ ] **17.2.7** Rate Limiting (API) `S` `P0` — API Rate Limiting.
- [ ] **17.2.8** Audit log immutability (PostgreSQL) `S` `P0` — Audit log 불변성(PostgreSQL append-only). 참고: docs/02 §2(access_logs), docs/03 §RLS
- [ ] **17.2.9** ✨ NEW Sentry PII 스크러빙 (beforeSend 마스킹) `S` `P0` — Sentry 에러 페이로드에서 민감정보(emergency_info·records.content·고유식별정보·이메일 등) 스크러빙 — beforeSend 훅 마스킹·민감 키 제거·국외이전 위탁(docs/16 §6.1) 위험 차단. 웹·모바일·서버 공통. 참고: docs/16 §6.2, docs/10 §6

> 원본: docs/08-wbs-v1.1.md · 보안",Phase 17 · SEO·보안·접근성,"phase:17,priority:P0,type:security,role:PL",PL,P0,13.5,17,보안
[17.3] 접근성 (WCAG 2.1 AA),"**Phase:** 17 · SEO·보안·접근성  
**담당자:** PL (PL)  
**우선순위:** P0  ·  **예상 공수:** 8.5d  ·  **작업 수:** 4  ·  **일정:** W13–W15

### 작업 목록
- [ ] **17.3.1** 키보드 네비게이션 `M` `P0` — 키보드 네비게이션(WCAG 2.1 AA). 참고: docs/07 §9 접근성
- [ ] **17.3.2** 스크린 리더 호환 (ARIA) `M` `P0` — 스크린 리더 호환(ARIA 레이블). 참고: docs/07 §9
- [ ] **17.3.3** 컬러 대비 4.5:1 검증 `S` `P0` — 컬러 대비 4.5:1 검증. 참고: docs/07 §1 컬러 시스템·§9
- [ ] **17.3.4** 당사자 모드 — TTS 통합 `M` `P0` — 당사자 모드 TTS 통합. 참고: docs/07 §9 당사자 접근성 모드

> 원본: docs/08-wbs-v1.1.md · 접근성 (WCAG 2.1 AA)",Phase 17 · SEO·보안·접근성,"phase:17,priority:P0,type:frontend,role:PL",PL,P0,8.5,17,접근성 (WCAG 2.1 AA)
[17.4] 법무·고지 (개인정보 거버넌스),"**Phase:** 17 · SEO·보안·접근성  
**담당자:** PL (PL)  
**우선순위:** P1  ·  **예상 공수:** 1d  ·  **작업 수:** 1  ·  **일정:** W13–W15

### 작업 목록
- [ ] **17.4.1** ✨ NEW 개인정보 처리방침·이용약관 게시 + CPO 지정 `S` `P1` — PIPA §30·§31 게시 의무 — 개인정보 처리방침(수집항목·목적·보유기간·위탁·권리·CPO)·이용약관 작성·게시, 개인정보 보호책임자(CPO) 지정·공개. 수치·항목은 docs/16 §1·§4·§6과 일치. A-09/A-10 페이지(13.1.8)에 게시. 변경 시 시행 7일 전 고지(불리 변경 30일). 법무 협업·확정. 참고: docs/16 §7, docs/16 §9 TBD

> 원본: docs/08-wbs-v1.1.md · 법무·고지 (개인정보 거버넌스)",Phase 17 · SEO·보안·접근성,"phase:17,priority:P1,type:security,role:PL",PL,P1,1,17,법무·고지 (개인정보 거버넌스)
[18.1] 자동화 테스트,"**Phase:** 18 · QA·테스트  
**담당자:** PM (PM)  
**우선순위:** P0  ·  **예상 공수:** 24.5d  ·  **작업 수:** 5  ·  **일정:** W14–W16

### 작업 목록
- [ ] **18.1.1** 단위 테스트 (Vitest, 핵심 로직 70%) `L` `P0` — 단위 테스트(Vitest, 핵심 로직 70%). 각 Phase 분산 작성 테스트를 통합·커버리지 70% 게이트 관리.
- [ ] **18.1.2** API 통합 테스트 (Supertest) `L` `P0` — API 통합 테스트(Supertest). 11.5.1 워크플로우 테스트를 전 API 회귀로 확장. 참고: docs/05 워크플로우
- [ ] **18.1.3** E2E 테스트 (Playwright, 5개 핵심 플로우) `XL` `P0` — E2E 테스트(Playwright, 5개 핵심 플로우). Phase 13~15 화면별 E2E를 5개 핵심 플로우 스위트로 묶음. 참고: docs/06 §6 주요 플로우
- [ ] **18.1.4** RLS 정책 자동 검증 (pgTAP) `L` `P0` — RLS 정책 자동 검증(pgTAP). 11.5.2 마스터 스위트를 CI 회귀로 운영. 참고: docs/03 §RLS 정책 요약
- [ ] **18.1.5** 시각 회귀 (Chromatic) `M` `P1` — 시각 회귀 테스트(Chromatic, P1). Phase 12 Storybook 기반. 참고: docs/07 디자인 시스템

> 원본: docs/08-wbs-v1.1.md · 자동화 테스트",Phase 18 · QA·테스트,"phase:18,priority:P0,type:qa,role:PM",PM,P0,24.5,18,자동화 테스트
[18.2] Zero Script QA (역할별 시나리오),"**Phase:** 18 · QA·테스트  
**담당자:** PM (PM)  
**우선순위:** P0  ·  **예상 공수:** 17d  ·  **작업 수:** 8  ·  **일정:** W14–W16

### 작업 목록
- [ ] **18.2.1** 보호자 — 회원가입~당사자 등록~권한 부여 `M` `P0` — 보호자 시나리오 — 가입~당사자 등록~권한 부여. 참고: docs/04 §1 보호자, bkit:zero-script-qa 스킬
- [ ] **18.2.2** 당사자 — 자기표현 5일 연속 입력 `S` `P0` — 당사자 시나리오 — 자기표현 5일 연속. 참고: docs/04 §2 당사자
- [ ] **18.2.3** 활동지원사 — 일지 작성 + 인계 확인 `M` `P0` — 활동지원사 시나리오 — 일지+인계 확인. 참고: docs/04 §3
- [ ] **18.2.4** 특수교사 — IEP 작성 + 점검 `M` `P0` — 특수교사 시나리오 — IEP 작성+점검. 참고: docs/04 §4
- [ ] **18.2.5** 사회복지사 — ISP·전환계획 작성 `M` `P0` — 사회복지사 시나리오 — ISP·전환계획. 참고: docs/04 §5
- [ ] **18.2.6** 치료사 — 계획서 + 회기 + 평가 사이클 `M` `P0` — 치료사 시나리오 — 계획서+회기+평가 사이클. 참고: docs/04 §6
- [ ] **18.2.7** 권한 외 접근 시도 차단 검증 `M` `P0` — 권한 외 접근 차단 검증. 참고: docs/05 §11 보안 흐름
- [ ] **18.2.8** 인수인계 권한 이양 검증 `S` `P0` — 인수인계 권한 이양 검증. 참고: docs/05 §7

> 원본: docs/08-wbs-v1.1.md · Zero Script QA (역할별 시나리오)",Phase 18 · QA·테스트,"phase:18,priority:P0,type:qa,role:PM",PM,P0,17,18,Zero Script QA (역할별 시나리오)
[18.3] 성능,"**Phase:** 18 · QA·테스트  
**담당자:** PM (PM)  
**우선순위:** P0  ·  **예상 공수:** 7d  ·  **작업 수:** 4  ·  **일정:** W14–W16

### 작업 목록
- [ ] **18.3.1** 타임라인 응답 시간 (10k 기록, p95 < 500ms) `M` `P0` — 타임라인 응답 성능(10k 기록, p95<500ms). 참고: docs/02 §5 인덱스 전략
- [ ] **18.3.2** 권한 매트릭스 응답 (20명 권한자, p95 < 300ms) `S` `P0` — 권한 매트릭스 응답(20명, p95<300ms).
- [ ] **18.3.3** 모바일 첫 화면 로드 (LCP < 2.5s) `S` `P0` — 모바일 첫 화면 로드(LCP<2.5s).
- [ ] **18.3.4** 부하 테스트 (100 동시 일지 작성) `M` `P1` — 부하 테스트(100 동시 일지 작성, P1).

> 원본: docs/08-wbs-v1.1.md · 성능",Phase 18 · QA·테스트,"phase:18,priority:P0,type:qa,role:PM",PM,P0,7,18,성능
[19.1] CI,"**Phase:** 19 · CI/CD·배포  
**담당자:** PL (PL)  
**우선순위:** P0  ·  **예상 공수:** 5.5d  ·  **작업 수:** 4  ·  **일정:** W15–W16

### 작업 목록
- [ ] **19.1.1** GitHub Actions — Lint·Type·Test `S` `P0` — GitHub Actions — Lint·Type·Test 파이프라인. 0.14 기본 파이프라인을 E2E·커버리지 게이트까지 확장. 참고: bkit:phase-9-deployment 스킬
- [ ] **19.1.2** PR 미리보기 환경 (Vercel Preview) `S` `P0` — PR 미리보기 환경(Vercel Preview).
- [ ] **19.1.3** DB 마이그레이션 검증 (스테이징) `S` `P0` — DB 마이그레이션 검증(스테이징).
- [ ] **19.1.4** 모바일 EAS Build (iOS·Android) `M` `P0` — 모바일 EAS Build(iOS·Android).

> 원본: docs/08-wbs-v1.1.md · CI",Phase 19 · CI/CD·배포,"phase:19,priority:P0,type:infra,role:PL",PL,P0,5.5,19,CI
[19.2] CD,"**Phase:** 19 · CI/CD·배포  
**담당자:** PL (PL)  
**우선순위:** P0  ·  **예상 공수:** 6.5d  ·  **작업 수:** 5  ·  **일정:** W15–W16

### 작업 목록
- [ ] **19.2.1** dev 환경 자동 배포 `S` `P0` — dev 환경 자동 배포.
- [ ] **19.2.2** staging 환경 (manual trigger) `S` `P0` — staging 환경 수동 배포 트리거.
- [ ] **19.2.3** production 배포 (승인 게이트) `M` `P0` — production 배포(승인 게이트).
- [ ] **19.2.4** DB 백업 자동화 (일 1회) `S` `P0` — DB 백업 자동화(일 1회).
- [ ] **19.2.5** 롤백 시나리오 문서 `S` `P0` — 롤백 시나리오 문서. 참고: bkit:rollback 스킬

> 원본: docs/08-wbs-v1.1.md · CD",Phase 19 · CI/CD·배포,"phase:19,priority:P0,type:infra,role:PL",PL,P0,6.5,19,CD
[19.3] 운영,"**Phase:** 19 · CI/CD·배포  
**담당자:** PL (PL)  
**우선순위:** P0  ·  **예상 공수:** 11d  ·  **작업 수:** 5  ·  **일정:** W15–W16

### 작업 목록
- [ ] **19.3.1** 모니터링 대시보드 (Grafana) `M` `P1` — 모니터링 대시보드(Grafana, P1).
- [ ] **19.3.2** 알림 인프라 (PagerDuty/Slack) `S` `P1` — 알림 인프라(PagerDuty/Slack, P1).
- [ ] **19.3.3** 로그 통합 (Loki / Datadog) `M` `P1` — 로그 통합(Loki/Datadog, P1).
- [ ] **19.3.4** 보안 감사 분기별 (외부) `M` `P1` — 분기별 외부 보안 감사(P1).
- [ ] **19.3.5** 사용자 데이터 GDPR/개인정보보호법 응대 워크플로우 `M` `P0` — GDPR/개인정보보호법 응대 워크플로우(데이터 열람·삭제 요청).

> 원본: docs/08-wbs-v1.1.md · 운영",Phase 19 · CI/CD·배포,"phase:19,priority:P0,type:infra,role:PL",PL,P0,11,19,운영
